Karthy +Hidden on 2018/6/20 20:16:52
Count 300: 2112
Count 100: 22
Count 50: 0
Count Geki: 244
Count Katu: 7
Count Miss: 0
Total Score: 184581341
Max Combo: 2636
Is fullcombo: False
Mods: Hidden
3409(3): (311.5555,179.1111) None 0
9996(18): (291.1111,166.6667) None 3.14269344886979
10012(16): (301.3333,174.2222) None 12.7113675488188
10028(16): (310.2222,189.7778) None 17.9161678642977
10046(18): (316.4445,207.5556) None 18.8352626737651
10062(16): (318.2222,227.5556) None 20.0788508810942
10078(16): (310.2222,256.8889) None 30.4046289322211
10097(19): (299.5555,268.4445) None 15.7260984713795
10112(15): (285.3333,271.1111) None 14.4700319240626
10128(16): (270.6667,267.1111) None 15.2022997449852
10147(19): (256,260) None 16.2996827380047
10162(15): (240.8889,249.7778) None 18.2438664276694
10178(16): (233.3333,241.3333) None 11.331230351018
10196(18): (229.3333,229.7778) None 12.2282252511899
10212(16): (228.4444,217.7778) None 12.0328776506496
10228(16): (234.2222,197.7778) None 20.8178526830072
10246(18): (241.7778,184.4444) None 15.3253650449567
10263(17): (251.5556,173.7778) None 14.4700263001278
10278(15): (263.1111,166.2222) None 13.8064109219824
10296(18): (284,164.4444) None 20.9644011498666
10312(16): (296.4445,170.2222) None 13.72036023543
10328(16): (307.5555,179.1111) None 14.2291035431943
10346(18): (316,192.4444) None 15.7824654220668
10363(17): (320.8889,208) None 16.3057654514383
10378(15): (322.2222,232.4444) None 24.4807325642336
10396(18): (319.1111,243.1111) None 11.1111376953709
10412(16): (312.8889,248.8889) None 8.49112030938446
10428(16): (306.2222,249.7778) None 6.72568660195545
10446(18): (296,240) None 14.1456263323563
10462(16): (292.4445,225.3333) None 15.0915147463003
10478(16): (293.3333,206.2222) None 19.1317569294589
10497(19): (300.8889,182.6667) None 24.737584318681
10512(15): (313.7778,157.3333) None 28.4236792427825
10528(16): (340.8889,123.1111) None 43.6597038932409
10546(18): (362.2222,104.4444) None 28.3470636347356
10561(15): (383.1111,91.11111) None 24.7815140215685
10579(18): (403.1111,80.88889) None 22.4609361748539
10597(18): (426.2222,71.55556) None 24.924553386485
10613(16): (436,66.22222) None 11.1377679097722
10628(15): (442.2222,61.77778) None 7.64649104835748
10647(19): (446.2222,58.22222) None 5.35182093917313
10663(16): (451.5555,56.88889) K1 5.49745412149177
10678(15): (454.2222,57.77778) K1 2.81093291075761
10696(18): (456,59.11111) K1 2.22224044805043
10713(17): (456.8889,61.33333) K1 2.39340099268504
10729(16): (456.8889,64) K1 2.66667175292969
10746(17): (455.5555,68) K1 4.21638308107528
10763(17): (453.7778,74.66666) K1 6.89960589570765
10778(15): (452,83.55556) K1 9.06493987221606
10796(18): (450.2222,92.88889) K1 9.50114397348655
10812(16): (447.5555,100.4444) K1 8.01229417667161
10828(16): (444.8889,107.1111) K1 7.18023768843845
10846(18): (442.2222,109.7778) K1 3.77127572818549
10863(17): (440.8889,111.1111) K1 1.88557852135319
10878(15): (438.6667,112.4444) K1 2.59149550416512
10896(18): (437.3333,115.1111) K1 2.98147401228141
10912(16): (436,118.2222) K1 3.38476912440649
10928(16): (434.6667,119.5556) K1 1.88565404958613
10942(14): (432.8889,121.3333) K1 2.51411548582412
10947(5): (432.8889,121.3333) K1 0
10962(15): (430.6667,122.2222) K1 2.39338895045133
10978(16): (425.7778,124.8889) K1 5.56888699944114
10996(18): (422.6667,126.6667) K1 3.58324038633707
11013(17): (419.5555,128.4444) K1 3.58324038779907
11028(15): (416.4445,130.2222) K1 3.58316089683114
11046(18): (412.4445,132.4444) K1 4.5758240910943
11062(16): (408.8889,132.8889) K1 3.58328013169583
11078(16): (404.8889,133.7778) K1 4.09757788888796
11096(18): (400.8889,135.5556) K1 4.37727977424496
11112(16): (398.2222,137.3333) K1 3.20490531412647
11128(16): (396.8889,138.6667) K1 1.88565404958613
11146(18): (396.4445,139.1111) K1 0.628472225808014
11160(14): (396.8889,139.5556) K1 0.628547757498268
11178(18): (396.8889,139.5556) K1 0
11196(18): (399.1111,140.8889) K1 2.59152167293102
11213(17): (400.8889,141.7778) K1 1.98761522183134
11228(15): (401.7778,142.2222) K1 0.9938110243606
11242(14): (403.5555,144) K1 2.51412627511635
11246(4): (403.5555,144) K1 0
11262(16): (404.8889,144.8889) K1 1.60250767295555
11278(16): (407.5555,147.1111) K1 3.47117562383653
11296(18): (410.2222,148.8889) K1 3.20496456150197
11312(16): (412,150.6667) K1 2.51419101184218
11328(16): (414.2222,152.8889) K1 3.1426632376502
11346(18): (417.3333,156.8889) K1 5.06744841555028
